bùn	mud
điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm	score
cào, làm xước da; sự cào, sự trầy xước da	scratch
gào thét, kêu lên; tiếng thét, tiếng kêu to	scream
màn che, màn ảnh, màn hình; phim ảnh nói chung	screen
đinh vít, đinh ốc; bắt vít, bắt ốc	screw
biển	sea
hải cẩu; săn hải cẩu	seal
sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra	search
mùa	season
ghế, chỗ ngồi	seat
thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì	second
trung học, thứ yếu	secondary
bí mật; điều bí mật	secret
bí mật, riêng tư	secretly
thư ký	secretary
mục, phần	section
khu vực, lĩnh vực	sector
chắc chắn, đảm bảo; bảo đảm, giữ an ninh	secure
sự an toàn, sự an ninh	security
nhìn, nhìn thấy, quan sát	see
hạt, hạt giống	seed
tìm, tìm kiếm, theo đuổi	seek
có vẻ như, dường như	seem
chọn lựa, chọn lọc	select
sự lựa chọn, sự chọc lọc	selection
bản thân mình	self
bán	sell
thượng nghi viện, ban giám hiệu	senate
thượng nghị sĩ	senator
gửi, phái đi	send
nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cao đẳng	senior
giác quan, tri giác, cảm giác	sense
có óc xét đoán; hiểu, nhận biết được	sensible
dễ bị thương, dễ bị hỏng; dễ bị xúc phạm	sensitive
câu	sentence
khác nhau, riêng biệt; làm rời, tách ra, chia tay	separate
ly thân	separated
không cùng nhau, thành người riêng, vật riêng	separately
sự chia cắt, phân ly, sự chia tay, ly thân	separation
tháng 9	September
loạt, dãy, chuỗi	series
đứng đắn, nghiêm trang	serious
đứng đắn, nghiêm trang	seriously
người hầu, đầy tớ	servant
phục vụ, phụng sự	serve
sự phục vụ, sự hầu hạ	service
buổi họp, phiên họp, buổi, phiên	session
bộ, bọn, đám, lũ; đặt để, bố trí	set
giải quyết, dàn xếp, hòa giải, đặt, bố trí	settle
vài	several
khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)	severe
khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)	severely
may, khâu	sew
sự khâu, sự may vá	sewing
giới, giống	sex
giới tính, các vấn đề sinh lý	sexual
giới tính, các vấn đề sinh lý	sexually
bóng, bóng tối	shade
bóng, bóng tối, bóng râm, bóng mát	shadow
rung, lắc, giũ; sự rung, sự lắc, sự giũ	shake
dự đoán tương lai: sẽ	shall
nông, cạn	shallow
sự xấu hổ, thẹn thùng, sự ngượng	shame
hình, hình dạng, hình thù	shape
có hình dáng được chỉ rõ	shaped
đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, phần chia sẻ	share
sắc, nhọn, bén	sharp
sắc, nhọn, bén	sharply
cạo (râu), bào, đẽo (gỗ)	shave
nó, bà ấy, chị ấy, cô ấy...	she
con cừu	sheep
chăn, khăn trải giường; lá, tấm, phiến, tờ	sheet
kệ, ngăn, giá	shelf
vỏ, mai; vẻ bề ngoài	shell
sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ	shelter
đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên	shift
chiếu sáng, tỏa sáng	shine
sáng chói, bóng	shiny
tàu, tàu thủy	ship
áo sơ mi	shirt
sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc	shock
gây ra căm phẫn, tồi tệ, gây kích động	shocking
bị kích động, bị va chạm, bị sốc	shocked
giày	shoe
vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra	shoot
sự bắn, sự phóng đi	shooting
cửa hàng; đi mua hầng, đi chợ	shop
sự mua sắm	shopping
ngắn, cụt	short
trong thời gian ngắn, sớm	shortly
đạn, viên đạn	shot
nên	should
vai	shoulder
hò hét, reo hò; sự la hét, sự hò reo	shout
biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ	show
vòi hoa sen, sự tắm vòi hoa sen	shower
đóng, khép, đậy; tính khép kín	shut
nhút nhát, e thẹn	shy
ốm, đau, bệnh	sick
mặt, mặt phẳng	side
ngang, từ một bên; sang bên	sideways
cảnh đẹp; sự nhìn	sight
dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu	sign
dấu hiệu, tín hiệu; ra hiệu, báo hiệu	signal
chữ ký	signature
nhiều ý nghĩa, quan trọng	significant
đáng kể	significantly
sự im lặng, sự yên tĩnh	silence
im lặng, yên tĩnh	silent
tơ (t.n+n.tạo), chỉ, lụa	silk
ngớ ngẩn, ngu ngốc, khờ dại	silly
bạc, đồng bạc; làm bằng bạc, trắng như bạc	silver
giống như, tương tự như	similar
tương tự, giống nhau	similarly
đơn, đơn giản, dễ dàng	simple
một cách dễ dàng, giản dị	simply
từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy	since
thật thà, thẳng thắng, chân thành	sincere
một cách chân thành	sincerely
(viết ở cuối thư)	Yours
hát, ca hát	sing
sự hát, tiếng hát	singing
ca sĩ	singer
đơn, đơn độc, đơn lẻ	single
chìm, lún, đắm	sink
xưng hô lịch sự Ngài, Ông	sir
chị, em gái	sister
ngồi	sit
chỗ, vị trí	site
hoàn cảnh, địa thế, vị trí	situation
cỡ	size
đã được định cỡ	-sized
tài giỏi, khéo tay	skilful
tài giỏi, khéo tay	skilfully
kỹ năng, kỹ sảo	skill
có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề	skilled
da, vỏ	skin
váy, đầm	skirt
trời, bầu trời	sky
ngủ; giấc ngủ	sleep
tay áo, ống tay	sleeve
miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng	slice
trượtc, chuyển động nhẹ, lướt qua	slide
mỏng manh, thon, gầy	slight
mảnh khảnh, mỏng manh, yếu ớt	slightly
trượt, tuột, trôi qua, chạy qua	slip
dốc, đường dốc, độ dốc; nghiêng, dốc	slope
chậm, chậm chạp	slow
một cách chậm chạp, chậm dần	slowly
nhỏ, bé	small
mạnh, ác liệt	smart
đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh	smash
ngửi; sự ngửi, khứu giác	smell
cười, mỉm cười; nụ cười, vẻ tươi cười	smile
khói, hơi thuốc; hút thuốc, bốc khói, hơi	smoke
sự hút thuốc	smoking
nhẵn, trơn, mượt mà	smooth
một cách êm ả, trôi chảy	smoothly
con rắn; người nham hiểm, xảo trá	snake
tuyết; tuyết rơi	snow
như vậy, như thế; vì thế, vì vậy, vì thế cho nên	so
xà phòng	soap
có tính xã hội	social
có tính xã hội	socially
xã hội	society
tất ngăns, miếng lót giày	sock
mềm, dẻo	soft
một cách mềm dẻo	softly
phần mềm (m.tính)	software
đất trồng; vết bẩn	soil
lính, quân nhân	soldier
rắn; thể rắn, chất rắnh	solid
sự giải quyết, giải pháp	solution
giải, giải thích, giải quyết	solve
or /səm/ một it, một vài	some
người nào đó	somebody
không biết làm sao, bằng cách này hay cách khác	somehow
một điều gì đó, một việc gì đó, một cái gì đó	something
thỉnh thoảng, đôi khi	sometimes
đến mức độ nào đó, hơi, một chút	somewhat
nơi nào đó. đâu đó	somewhere
con trai	son
bài hát	song
sớm, chẳng bao lâu nữa	soon
đau, nhức	sore
xin lỗi, lấy làm tiếc, lấy làm buồn	sorry
thứ, hạng loại; lựa chọn, sắp xếp, phân loại	sort
tâm hồn, tâm trí, linh hồn	soul
âm thanh; nghe	sound
xúp, canh, cháo	soup
chua, có vị giấm	sour
nguồn	source
phương Nam, hướng Nam; ở phía Nam; hướng về phía Nam	south
thuộc phương Nam	southern
khoảng trống, khoảng cách	space
thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng	spare
nói	speak
nói theo 1 cách nào đó	spoken
người nói, người diễn thuyết	speaker
đặc biệt, riêng biệt	special
đặc biệt, riêng biệt	specially
chuyên gia, chuyên viên	specialist
đặc trưng, riêng biệt	specific
đặc trưng, riêng biệt	specifically
sự nói, khả năng nói, lời nói, cách nói, bài nói	speech
tốc độ, vận tốc	speed
đánh vần; sự thu hút, sự quyến rũ, say mê	spell
sự viết chính tả	spelling
tiêu, xài	spend
gia vị	spice
có gia vị	spicy
con nhện	spider
quay, quay tròn	spin
tinh thần, tâm hồn, linh hồn	spirit
(thuộc) tinh thần, linh hồn	spiritual
sự giận, sự hận thù; in spite of : mặc dù, bất chấp	spite
chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra	split
cướp, cướp đọat	spoil
cái thìa	spoon
thể thao	sport
dấu, đốm, vết	spot
máy, ống, bình phụt, bơm, phun; bơm, phun, xịt	spray
trải, căng ra, bày ra; truyền bá	spread
mùa xuân	spring
vuông, vuông vắn; dạng hình vuông, hình vuông	square
ép, vắt, xiết; sự ép, sự vắt, sự xiết	squeeze
ổn định, bình tĩnh, vững vàng; chuồng ngưa	stable
gậy	staff
tầng, bệ	stage
bậc thang	stair
tem; dán tem	stamp
đứng, sự đứng	stand
tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn	standard
ngôi sao, dán sao, trang trí hình sao, đánh dấu sao	star
nhìm chằm chằm; sự nhìn chằm chằm	stare
bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành	start
nhà nước, quốc gia, chính quyền; (thuộc) nhà nước, có liên quan đến nhà nước; phát biểu, tuyên bố	state
sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày	statement
trạm, điểm, đồn	station
tượng	statue
tình trạng	status
ở lại, lưu lại; sự ở lại, sự lưu lại	stay
vững chắc, vững vàng, kiến định	steady
vững chắc, vững vàng, kiên định	steadily
không chắc, không ổn định	unsteady
ăn cắp, ăn trộm	steal
hơi nước	steam
thép, ngành thép	steel
dốc, dốc đứng	steep
dốc, cheo leo	steeply
lái (tàu, ô tô...)	steer
bước; bước, bước đi	step
đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán	stick
dính, nhớt	sticky
cứng, cứng rắn, kiên quyết	stiff
cứng, cứng rắn, kiên quyết	stiffly
đứng yên; vẫn, vẫn còn	still
châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích..	sting
khuấy, đảo	stir
kho sự trữ, hàng dự trữ, vốn	stock
dạ dày	stomach
đá	stone
dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại	stop
cửa hàng, kho hàng; tích trữ, cho vào kho	store
cơn giông, bão	storm
chuyện, câu chuyện	story
bếp lò, lò sưởi	stove
thẳng, không cong	straight
sự căng thẳng, sự căng	strain
xa lạ, chưa quen	strange
lạ, xa lạ, chưa quen	strangely
người lạ	stranger
chiến lược	strategy
dòng suối	stream
phố, đườmg phố	street
sức mạnh, sức khỏe	strength
sự căng thẳng; căng thẳng, ép, làm căng	stress
bị căng thẳng, bị ép, bị căng	stressed
căng ra, duỗi ra, kéo dài ra	stretch
nghiêm khắc, chặt chẽ,, khắt khe	strict
một cách nghiêm khắc	strictly
đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công	strike
nổi bật, gây ấn tượng	striking
dây, sợi dây	string
cởi, lột (quần áo); sự cởi quần áo	strip
sọc, vằn, viền	stripe
có sọc, có vằn	striped
cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve	stroke
khỏe, mạnh, bền, vững, chắc chắn	strong
khỏe, chắc chắn	strongly
kết cấu, cấu trúc	structure
đấu tranh; cuộc đấu tranh, cuộc chiến đấu	struggle
