bỏ, từ bỏ	abandon
sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa	danger
nguy hiểm	dangerous
dám, dám đương đầu với; thách	dare
tối, tối tăm; bóng tối, ám muội	dark
số liệu, dữ liệu	data
ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu	date
con gái	daughter
ngày, ban ngày	day
chết, tắt	dead
điếc, làm thinh, làm ngơ	deaf
phân phát, phân phối; sự giao dịch, thỏa thuận mua bán	deal
thân, thân yêu, thân mến; kính thưa, thưa	dear
sự chết, cái chết	death
cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi	debate
nợ	debt
thập kỷ, bộ mười, nhóm mười	decade
tình trạng suy tàn, suy sụp, tình trạng đổ nát	decay
tháng mười hai, tháng Chạp	December
quyết định, giải quyết, phân xử	decide
sự quyết định, sự giải quyết, sự phân xử	decision
tuyên bố, công bố	declare
sự suy tàn, sự suy sụp; suy sụp, suy tàn	decline
trang hoàng, trang trí	decorate
sự trang hoàng, đồ trang hoàng, trang trí	decoration
để trang hoàng, để trang trí, để làm cảnh	decorative
giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút	decrease
sâu, khó lường, bí ẩn	deep
sâu, sâu xa, sâu sắc	deeply
đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hy vọng..)	defeat
cái để bảo vệ, vật để chống đỡ, sự che chở	defence
che chở, bảo vệ, bào chữa	defend
định nghĩa	define
xác định, định rõ, rõ ràng	definite
rạch ròi, dứt khoát	definitely
sự định nghĩa, lời định nghĩa	definition
mức độ, trình độ; bằng cấp; độ	degree
sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ	delay
thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc	deliberate
thận trọng, có suy nghĩ cân nhắc	deliberately
thanh nhã, thanh tú, tế nhị, khó xử	delicate
sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê	delight
vui mừng, hài lòng	delighted
cứu khỏi, thoát khỏi, bày tỏ, giãi bày	deliver
sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu	delivery
sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu	demand
chứng minh, giải thích; bày tỏ, biểu lộ	demonstrate
nha sĩ	dentist
từ chối, phản đối, phủ nhận	deny
cục, sở, ty, ban, khoa; gian hàng, khu bày hàng	department
sự rời khỏi, sự đi, sự khởi hành	departure
phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào	depend
vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc	deposit
làm chán nản, làm phiền muộn; làm suy giảm	depress
làm chán nản làm thát vọng, làm trì trệ	depressing
chán nản, thất vọng, phiền muộn; suy yếu, đình trệ	depressed
chiều sâu, độ dày	depth
nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ (from)	derive
diễn tả, miêu tả, mô tả	describe
sự mô tả, sự tả, sự miêu tả	description
sa mạc; công lao, giá trị; rời bỏ, bỏ trốn	desert
hoang vắng, không người ở	deserted
đáng, xứng đáng	deserve
sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế	design
ước muốn; thèm muốn, ao ước	desire
bàn (học sinh, viết, làm việc)	desk
liều mạng, liều lĩnh; tuyệt vọng	desperate
liều lĩnh, liều mạng	desperately
dù, mặc dù, bất chấp	despite
phá, phá hoại, phá huỷ, tiêu diệt, triệt phá	destroy
sự phá hoại, sự phá hủy, sự tiêu diệt	destruction
chi tiết	detail
cặn kẽ, tỉ mỉ, nhiều chi tiết	detailed
sự xác định, sự định rõ; sự quyết định	determination
xác định, định rõ; quyết định	determine
đã được xác định, đã được xác định rõ	determined
phát triển, mở rộng; trình bày, bày tỏ	develop
sự phát triển, sự trình bày, sự bày tỏ	development
kế sách; thiết bị, dụng cụ, máy móc	device
hiến dâng, dành hết cho	devote
hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình	devoted
biểu đồ	diagram
kim cương	diamond
sổ nhật ký; lịch ghi nhớ	diary
từ điển	dictionary
chết, từ trần, hy sinh	die
sự chết	dying
chế độ ăn uống, chế độ ăn kiêng	diet
sự khác nhau	difference
khác, khác biệt, khác nhau	different
khác, khác biệt, khác nhau	differently
khó, khó khăn, gay go	difficult
sự khó khăn, nỗi khó khăn, điều cản trở	difficulty
đào bới, xới	dig
bữa trưa, chiều	dinner
trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển	direct
trực tiếp, thẳng	directly
sự điều khiển, sự chỉ huy	direction
giám đốc, người điều khiển, chỉ huy	director
đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi	dirt
bẩn thỉu, dơ bẩn	dirty
bất lực, không có khă năng	disabled
sự bất lợi, sự thiệt hại	disadvantage
bất đồng, không đồng ý, khác, không giống; không hợp	disagree
sự bất đồng, sự không đồng ý, sự khác nhau	disagreement
biến mất, biến đi	disappear
không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại	disappoint
làm chán ngán, làm thất vọng	disappointing
thất vọng	disappointed
sự chán ngán, sự thất vọng	disappointment
sự phản đổi, sự không tán thành	disapproval
không tán thành, phản đối, chê	disapprove
phản đối	disapproving
tai họa, thảm họa	disaster
đĩa	disc
kỷ luật	discipline
sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu	discount
khám phá, phát hiện ra, nhận ra	discover
sự khám phá, sự tìm ra, sự phát hiện ra	discovery
thảo luận, tranh luận	discuss
sự thảo luận, sự tranh luận	discussion
căn bệnh, bệnh tật	disease
làm ghê tởm, làm kinh tởm, làm phẫn nộ	disgust
làm ghê tởm, kinh tởm	disgusting
chán ghét, phẫn nộ	disgusted
đĩa (đựng thức ăn)	dish
bất lương, không thành thật	dishonest
bất lương, không lương thiện	dishonestly
đĩa, đĩa hát	disk
sự không ưa, không thích, sự ghét	dislike
giải tán (quân đội, đám đông); sa thải (người làm)	dismiss
bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày	display
tan rã, phân hủy, giải tán	dissolve
khoảng cách, tầm xa	distance
phân biệt, nhận ra, nghe ra	distinguish
phân bổ, phân phối, sắp xếp, phân loại	distribute
sự phân bổ, sự phân phối, phân phát, sự sắp xếp	distribution
huyện, quận	district
làm mất yên tĩnh, làm náo động, quấy rầy	disturb
xáo trộn	disturbing
chia, chia ra, phân ra	divide
sự chia, sự phân chia, sự phân loại	division
sự ly dị	divorce
đã ly dị	divorced
làm	do
tháo, gỡ; xóa bỏ, hủy bỏ	undo
bác sĩ y khoa, tiến sĩ	doctor
văn kiện, tài liệu, tư liệu	document
chó	dog
đô la Mỹ	dollar
vật nuôi trong nhà, (thuộc) nội trợ, quốc nội	domestic
chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế	dominate
cửa, cửa ra vào	door
chấm nhỏ, điểm; của hồi môn	dot
đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi	double
sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực	doubt
xuống	down
ở dưới nhà, ở tầng dưới; xống gác; tầng dưới	downstairs
xuống, đi xuống	downwards
xuống, đi xuống	downward
tá (12)	dozen
bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế	draft
lôi kéo, kéo lê	drag
kịch, tuồng	drama
như kịch, như đóng kịch, thích hợp với sân khấu	dramatic
đột ngột	dramatically
vẽ, kéo	draw
bản vẽ, bức vẽ, sự kéo	drawing
người vẽ, người kéo	drawer
giấc mơ, mơ	dream
quần áo, mặc (quần áo), ăn mặc	dress
cách ăn mặc	dressed
đồ uống; uống	drink
lái , đua xe; cuộc đua xe (điều khiển)	drive
sự lái xe, cuộc đua xe	driving
người lái xe	driver
chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)	drop
thuốc, dược phẩm; ma túy	drug
hiệu thuốc, cửa hàng dược phẩm	drugstore
cái trống, tiếng trống	drum
say rượu	drunk
khô, cạn; làm khô, sấy khô	dry
đến kỳ hạn (trả nợ); xứng đáng, thích đáng	due
chậm hiểu, ngu đần	dull
đổ rác; đống rác, nơi đổ rác	dump
trong lúc, trong thời gian	during
bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi	dust
sự tôn kính, kính trọng; bồn phận, trách nhiệm	duty
mỗi	each
nhau, lẫn nhau	each
tai	ear
sớm	early
kiếm (tiền), giành (phần thưởng)	earn
đất, trái đất	earth
sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu	ease
hướng đông, phía đông, (thuộc) đông, ở phía đông	east
đông	eastern
dễ dàng, dễ tính, ung dung	easy
dễ dàng	easily
ăn	eat
(thuộc) Kinh tế	economic
sự tiết kiệm, sự quản lý kinh tế	economy
lưỡi, cạnh sắc	edge
nhà xuất bản, sự xuất bản	edition
người thu thập và xuất bản, chủ bút	editor
giáo dục, cho ăn học; rèn luyện	educate
được giáo dục, được đào tạo	educated
sự giáo dục, sự rèn luyện (kỹ năng)	education
hiệu ứng, hiệu quả, kết quả	effect
có kết quả, có hiệu lực	effective
có kết quả, có hiệu lực	effectively
có hiệu lực, có hiệu quả	efficient
