vi	en
sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa	danger
nguy hiểm	dangerous
dám, dám đương đầu với; thách	dare
tối, tối tăm; bóng tối, ám muội	dark
số liệu, dữ liệu	data
ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu	date
con gái	daughter
ngày, ban ngày	day
chết, tắt	dead
điếc, làm thinh, làm ngơ	deaf
phân phát, phân phối; sự giao dịch, thỏa thuận mua bán	deal
thân, thân yêu, thân mến; kính thưa, thưa	dear
sự chết, cái chết	death
cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi	debate
nợ	debt
thập kỷ, bộ mười, nhóm mười	decade
tình trạng suy tàn, suy sụp, tình trạng đổ nát	decay
tháng mười hai, tháng Chạp	December
quyết định, giải quyết, phân xử	decide
sự quyết định, sự giải quyết, sự phân xử	decision
tuyên bố, công bố	declare
sự suy tàn, sự suy sụp; suy sụp, suy tàn	decline
trang hoàng, trang trí	decorate
sự trang hoàng, đồ trang hoàng, trang trí	decoration
để trang hoàng, để trang trí, để làm cảnh	decorative
giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút	decrease
sâu, khó lường, bí ẩn	deep
sâu, sâu xa, sâu sắc	deeply
đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hy vọng..)	defeat
cái để bảo vệ, vật để chống đỡ, sự che chở	defence
che chở, bảo vệ, bào chữa	defend
định nghĩa	define
xác định, định rõ, rõ ràng	definite
rạch ròi, dứt khoát	definitely
sự định nghĩa, lời định nghĩa	definition
mức độ, trình độ; bằng cấp; độ	degree
sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ	delay
thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc	deliberate
thận trọng, có suy nghĩ cân nhắc	deliberately
thanh nhã, thanh tú, tế nhị, khó xử	delicate
sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê	delight
vui mừng, hài lòng	delighted
cứu khỏi, thoát khỏi, bày tỏ, giãi bày	deliver
sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu	delivery
sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu	demand
chứng minh, giải thích; bày tỏ, biểu lộ	demonstrate
nha sĩ	dentist
từ chối, phản đối, phủ nhận	deny
cục, sở, ty, ban, khoa; gian hàng, khu bày hàng	department
sự rời khỏi, sự đi, sự khởi hành	departure
phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào	depend
vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc	deposit
làm chán nản, làm phiền muộn; làm suy giảm	depress
làm chán nản làm thát vọng, làm trì trệ	depressing
chán nản, thất vọng, phiền muộn; suy yếu, đình trệ	depressed
chiều sâu, độ dày	depth
nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ (from)	derive
diễn tả, miêu tả, mô tả	describe
sự mô tả, sự tả, sự miêu tả	description
sa mạc; công lao, giá trị; rời bỏ, bỏ trốn	desert
hoang vắng, không người ở	deserted
đáng, xứng đáng	deserve
sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế	design
ước muốn; thèm muốn, ao ước	desire
bàn (học sinh, viết, làm việc)	desk
liều mạng, liều lĩnh; tuyệt vọng	desperate
liều lĩnh, liều mạng	desperately
dù, mặc dù, bất chấp	despite
phá, phá hoại, phá huỷ, tiêu diệt, triệt phá	destroy
sự phá hoại, sự phá hủy, sự tiêu diệt	destruction
chi tiết	detail
cặn kẽ, tỉ mỉ, nhiều chi tiết	detailed
sự xác định, sự định rõ; sự quyết định	determination
xác định, định rõ; quyết định	determine
đã được xác định, đã được xác định rõ	determined
phát triển, mở rộng; trình bày, bày tỏ	develop
sự phát triển, sự trình bày, sự bày tỏ	development
kế sách; thiết bị, dụng cụ, máy móc	device
hiến dâng, dành hết cho	devote
hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình	devoted
biểu đồ	diagram
kim cương	diamond
sổ nhật ký; lịch ghi nhớ	diary
từ điển	dictionary
chết, từ trần, hy sinh	die
sự chết	dying
chế độ ăn uống, chế độ ăn kiêng	diet
sự khác nhau	difference
khác, khác biệt, khác nhau	different
khác, khác biệt, khác nhau	differently
khó, khó khăn, gay go	difficult
sự khó khăn, nỗi khó khăn, điều cản trở	difficulty
đào bới, xới	dig
bữa trưa, chiều	dinner
trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển	direct
trực tiếp, thẳng	directly
sự điều khiển, sự chỉ huy	direction
giám đốc, người điều khiển, chỉ huy	director
đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi	dirt
bẩn thỉu, dơ bẩn	dirty
bất lực, không có khă năng	disabled
sự bất lợi, sự thiệt hại	disadvantage
bất đồng, không đồng ý, khác, không giống; không hợp	disagree
sự bất đồng, sự không đồng ý, sự khác nhau	disagreement
biến mất, biến đi	disappear
không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại	disappoint
làm chán ngán, làm thất vọng	disappointing
thất vọng	disappointed
sự chán ngán, sự thất vọng	disappointment
sự phản đổi, sự không tán thành	disapproval
không tán thành, phản đối, chê	disapprove
phản đối	disapproving
tai họa, thảm họa	disaster
đĩa	disc
kỷ luật	discipline
sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu	discount
khám phá, phát hiện ra, nhận ra	discover
sự khám phá, sự tìm ra, sự phát hiện ra	discovery
thảo luận, tranh luận	discuss
sự thảo luận, sự tranh luận	discussion
căn bệnh, bệnh tật	disease
làm ghê tởm, làm kinh tởm, làm phẫn nộ	disgust
làm ghê tởm, kinh tởm	disgusting
chán ghét, phẫn nộ	disgusted
đĩa (đựng thức ăn)	dish
bất lương, không thành thật	dishonest
bất lương, không lương thiện	dishonestly
đĩa, đĩa hát	disk
sự không ưa, không thích, sự ghét	dislike
giải tán (quân đội, đám đông); sa thải (người làm)	dismiss
bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày	display
tan rã, phân hủy, giải tán	dissolve
khoảng cách, tầm xa	distance
phân biệt, nhận ra, nghe ra	distinguish
phân bổ, phân phối, sắp xếp, phân loại	distribute
sự phân bổ, sự phân phối, phân phát, sự sắp xếp	distribution
huyện, quận	district
làm mất yên tĩnh, làm náo động, quấy rầy	disturb
xáo trộn	disturbing
chia, chia ra, phân ra	divide
sự chia, sự phân chia, sự phân loại	division
sự ly dị	divorce
đã ly dị	divorced
làm	do
tháo, gỡ; xóa bỏ, hủy bỏ	undo
bác sĩ y khoa, tiến sĩ	doctor
văn kiện, tài liệu, tư liệu	document
chó	dog
đô la Mỹ	dollar
vật nuôi trong nhà, (thuộc) nội trợ, quốc nội	domestic
chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế	dominate
cửa, cửa ra vào	door
chấm nhỏ, điểm; của hồi môn	dot
đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi	double
sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực	doubt
xuống	down
ở dưới nhà, ở tầng dưới; xống gác; tầng dưới	downstairs
xuống, đi xuống	downwards
xuống, đi xuống	downward
tá (12)	dozen
bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế	draft
lôi kéo, kéo lê	drag
kịch, tuồng	drama
như kịch, như đóng kịch, thích hợp với sân khấu	dramatic
đột ngột	dramatically
vẽ, kéo	draw
bản vẽ, bức vẽ, sự kéo	drawing
người vẽ, người kéo	drawer
giấc mơ, mơ	dream
quần áo, mặc (quần áo), ăn mặc	dress
cách ăn mặc	dressed
đồ uống; uống	drink
lái , đua xe; cuộc đua xe (điều khiển)	drive
sự lái xe, cuộc đua xe	driving
người lái xe	driver
chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)	drop
thuốc, dược phẩm; ma túy	drug
hiệu thuốc, cửa hàng dược phẩm	drugstore
cái trống, tiếng trống	drum
say rượu	drunk
khô, cạn; làm khô, sấy khô	dry
đến kỳ hạn (trả nợ); xứng đáng, thích đáng	due
chậm hiểu, ngu đần	dull
đổ rác; đống rác, nơi đổ rác	dump
trong lúc, trong thời gian	during
bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi	dust
sự tôn kính, kính trọng; bồn phận, trách nhiệm	duty
mỗi	each
nhau, lẫn nhau	each
tai	ear
sớm	early
kiếm (tiền), giành (phần thưởng)	earn
đất, trái đất	earth
sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu	ease
hướng đông, phía đông, (thuộc) đông, ở phía đông	east
đông	eastern
dễ dàng, dễ tính, ung dung	easy
dễ dàng	easily
ăn	eat
(thuộc) Kinh tế	economic
sự tiết kiệm, sự quản lý kinh tế	economy
lưỡi, cạnh sắc	edge
nhà xuất bản, sự xuất bản	edition
người thu thập và xuất bản, chủ bút	editor
giáo dục, cho ăn học; rèn luyện	educate
được giáo dục, được đào tạo	educated
sự giáo dục, sự rèn luyện (kỹ năng)	education
hiệu ứng, hiệu quả, kết quả	effect
có kết quả, có hiệu lực	effective
có kết quả, có hiệu lực	effectively
có hiệu lực, có hiệu quả	efficient
có hiệu quả, hiệu nghiệm	efficiently
sự cố gắng, sự nỗ lực	effort
abbr. Viết tắt của cụm từ La tinh exempli gratia (for example)	e.g.
trứng	egg
mỗi, một; cũng phải thế	either
khuỷu tay	elbow
có tuổi, cao tuổi	elderly
bầu, quyết định	elect
sự bầu cử, cuộc tuyển cử	election
(thuộc) điện, có điện, phát điện	electric
(thuộc) điện	electrical
điện, điện lực; điện lực học	electricity
(thuộc) điện tử	electronic
thanh lịch, tao nhã	elegant
yếu tôd, nguyên tố	element
máy nâng, thang máy	elevator
khác, nữa; nếu không	else
ở một nơi nào khác	elsewhere
thư điện tử; gửi thư điện tử	email
lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn	embarrass
làm lúng túng, ngăn trở	embarrassing
lúng túng, bối rối, ngượng; mang nợ	embarrassed
sự lúng túng, sự bối rối	embarrassment
nổi lên, hiện ra; nổi bật lên	emerge
tình trạng khẩn cấp	emergency
xự xúc động, sự cảm động, mối xác cảm	emotion
cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm	emotional
xúc động	emotionally
sự nhấn mạnh, tầm quan trọng	emphasis
nhấn mạnh, làm nổi bật	emphasize
đế chế, đế quốc	empire
dùng, thuê ai làm gì	employ
thất nghiệp; không dùng, không sử dụng được	unemployed
người lao động, người làm công	employee
chủ, người sử dụng lao động	employer
sự thuê mướn	employment
sự thất nghiệp, nạn thất nghiệp	unemployment
trống, rỗng; đổ, dốc; uống, làm cạn	empty
làm cho có thể, có khả năng; cho phép ai làm gì	enable
chạm chán, bắt gặp; sự chạm trán, sự bắt gặp	encounter
động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn	encourage
niềm cổ vũ, động viên, khuyến khích, sự làm can đảm	encouragement
giới hạn, sự kết thúc; kết thúc, chấm dứt	end
sự kết thúc, sự chấm dứt; phần cuối, kết cục	ending
kẻ thù, quân địch	enemy
năng lượng, nghị lực, sinh lực	energy
hứa hẹn, cam kết, đính ước	engage
đã đính ước, đã hứa hôn; đã có người	engaged
máy, động cơ	engine
kỹ sư	engineer
nghề kỹ sư, công việc của kỹ sư	engineering
thưởng thức, thích thú cái gì, được hưởng, có được	enjoy
thú vị, thích thú	enjoyable
sự thích thú, sự có được, được hưởng	enjoyment
to lớn, khổng lồ	enormous
đủ	enough
sự điều tra, sự thẩm vấn	enquiry
bảo đảm, chắc chắn	ensure
đi vào, gia nhập	enter
giải trí, tiếp đón, chiêu đãi	entertain
giải trí	entertaining
người quản trò, người tiếp đãi, chiêu đãi	entertainer
sự giải trí, sự tiếp đãi, chiêu đãi	entertainment
sự hăng hái, sự nhiệt tình	enthusiasm
hăng hái, say mê, nhiệt tình	enthusiastic
toàn thể, toàn bộ	entire
toàn vẹn, trọn vẹn, toàn bộ	entirely
cho tiêu đề, cho tên (sách); cho quyền làm gì	entitle
sự đi vào, sự nhậm chức	entrance
sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)	entry
phong bì	envelope
môi trường, hoàn cảnh xung quanh	environment
thuộc về môi trường	environmental
ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang	equal
bằng nhau, ngang bằng	equally
trang, thiết bị	equipment
tương đương; từ, vật tương đương	equivalent
lỗi, sự sai sót, sai lầm	error
trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát	escape
đặc biệt là, nhất là	especially
bài tiểu luận	essay
bản chất, thực chất, cốt yếu; yếu tố cần thiết	essential
về bản chất, về cơ bản	essentially
lập, thành lập	establish
tài sản, di sản, bất động sản	estate
sự ước lượng, đánh giá; ước lượng, đánh giá	estimate
vân vân	etc.
đơn vị tiền tệ của liên minh châu Âu	euro
ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng	even
buổi chiều, tối	evening
sự việc, sự kiện	event
cuối cùng	eventually
từng, từ trước tới giờ	ever
mỗi, mọi	every
mọi người	everyone
mọi vật, mọi thứ	everything
mọi nơi	everywhere
điều hiển nhiên, điều rõ ràng	evidence
xấu, ác; điều xấu, điều ác, điều tai hại	evil
chính xác, đúng	exact
chính xác, đúng đắn	exactly
cường điệu, phóng đại	exaggerate
cường điệu, phòng đại	exaggerated
viết tắt của Examination (xem nghĩa phía dưới)	exam
n. sự thi cử, kỳ thi	examination
thẩm tra, khám xét, hỏi han (thí sinh)	examine
thí dụ, ví dụ	example
xuất sắc, xuất chúng	excellent
trừ ra, không kể; trừ phi	except
sự trừ ra, sự loại ra	exception
trao đổi; sự trao đổi	exchange
kích thích, kích động	excite
hứng thú, thú vị	exciting
bị kích thích, bị kích động	excited
sự kích thích, sự kích động	excitement
ngăn chạn, loại trừ	exclude
ngoài ra, trừ ra	excluding
lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi	excuse
sự thi hành, chấp hành; (thuộc) sự thi hành, chấp hành	executive
bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện	exercise
trưng bày, triển lãm; vật trưng bày, vật triển lãm	exhibit
cuộc triển lãm, trưng bày	exhibition
tồn tại, sống	exist
sự tồn tại, sự sống	existence
lỗi ra, sự đi ra, thoát ra	exit
mở rộng, phát triển, nở, giãn ra	expand
chờ đợi, mong ngóng; liệu trước	expect
được chờ đợi, được hy vọng	expected
bất ngờ, gây ngạc nhiên	unexpected
bất ngờ, gây ngạc nhiên	unexpectedly
sự mong chờ, sự chờ đợi	expectation
chi phí	expense
đắt	expensive
kinh nghiệm; trải qua, nếm mùi	experience
có kinh nghiệm, từng trải, giàu kinh nghiệm	experienced
cuộc thí nghiệm; thí nghiệm	experiment
chuyên gia; chuyên môn, thành thạo	expert
giải nghĩa, giải thích	explain
sự giải nghĩa, giải thích	explanation
đập tan (hy vọng...), làm nổ, nổ	explode
thăm dò, thám hiểm	explore
sự nổ, sự phát triển ồ ạt	explosion
xuất khẩu; hàng xuất khẩu, sự xuất khẩu	export
trưng bày, phơi bày	expose
diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành	express
sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt	expression
giơ, duỗi ra (tay, chân..); kéo dài (thời gian..), dành cho, gửi lời	extend
sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời	extension
rộng rãi, bao quát	extensive
quy mô, phạm vi	extent
thêm, phụ, ngoại; thứ thêm, phụ	extra
đặc biệt, lạ thường, khác thường	extraordinary
vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích	extreme
vô cùng, cực độ	extremely
mắt	eye
mặt, thể diện; đương đầu, đối phó, đối mặt	face
điều kiện dễ dàng, sự dễ dàng, thuận lợi	facility
việc, sự việc, sự kiện	fact
nhân tố	factor
nhà máy, xí nghiệp, xưởng	factory
sai, thất bại	fail
sự thất bại, người thất bại	failure
nhút nhát, yếu ớt	faint
nhút nhát, yếu ớt	faintly
hợp lý, công bằng; thuận lợi	fair
hợp lý, công bằng	fairly
gian lận, không công bằng; bất lợi	unfair
gian lận, không công bằng; bất lợi	unfairly
sự tin tưởng, tin cậy; niềm tin, vật đảm bảo	faith
trung thành, chung thủy, trung thực	faithful
trung thành, chung thủy, trung thực	faithfully
rơi, ngã, sự rơi, ngã	fall
sai, nhầm, giả dối	false
tên tuổi, danh tiếng	fame
thân thiết, quen thộc	familiar
gia đình, thuộc gia đình	family
nổi tiếng	famous
người hâm mộ	fan
tưởng tượng, cho, nghĩ rằng; tưởng tượng	fancy
xa	far
xa hơn nữa; thêm nữa	further
trang trại	farm
công việc trồng trọt, đồng áng	farming
nông dân, người chủ trại	farmer
mốt, thời trang	fashion
đúng mốt, hợp thời trang	fashionable
nhanh	fast
buộc, trói	fasten
béo, béo bở; mỡ, chất béo	fat
cha (bố)	father
vòi (ở thùng rượu....)	faucet
sự thiết sót, sai sót	fault
thiện ý, sự quý mến; sự đồng ý; sự chiếu cố	favour
favor (of) ủng hộ cái gì (to be in favour of something )	in
được ưa thích; người (vật) được ưa thích	favourite
sự sợ hãi, e sợ; sợ, lo ngại	fear
lông chim	feather
nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt, đặc trưng của...	feature
tháng 2	February
liên bang	federal
tiền thù lao, học phí	fee
cho ăn, nuôi	feed
cảm thấy	feel
sự cảm thấy, cảm giác	feeling
anh chàng (đang yêu), đồng chí	fellow
thuộc giống cái; giống cái	female
hàng rào	fence
lễ hội, đại hội liên hoan	festival
tìm về, đem về; làm bực mình; làm say mê, quyến rũ	fetch
cơn sốt, bệnh sốt	fever
ít,vài; một ít, một vài	few
cánh đồng, bãi chiến trường	field
đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu	fight
sự chiến đấu, sự đấu tranh	fighting
hình dáng, nhân vật; hình dung, miêu tả	figure
hồ sơ, tài liệu	file
làm đấy, lấp kín	fill
phim, được dựng thành phim	film
cuối cùng, cuộc đấu chung kết	final
cuối cùng, sau cùng	finally
tài chính; tài trợ, cấp vốn	finance
thuộc (tài chính)	financial
tìm, tìm thấy	find
tốt, giỏi	fine
đẹp đẽ, tế nhị, cao thượng	finely
ngón tay	finger
kết thúc, hoàn thành; sự kết thúc, phần cuối	finish
hoàn tất, hoàn thành	finished
lửa; đốt cháy	fire
hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ	firm
vững chắc, kiên quyết	firmly
thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất	first
cá, món cá; câu cá, bắt cá	fish
sự câu cá, sự đánh cá	fishing
hợp, vừa; thích hợp, xứng đáng	fit
đóng, gắn, lắp; sửa chữa, sửa sang	fix
đứng yên, bất động	fixed
quốc kỳ	flag
ngọn lửa	flame
loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy	flash
bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng	flat
vị, mùi; cho gia vị, làm tăng thêm mùi vị	flavour
thịt	flesh
sự bỏ chạy, rút chạy; sự bay, chuyến bay	flight
nổi, trôi, lơ lửng	float
lụt, lũ lụtl; tràn đầy, tràn ngập	flood
sàn, tầng (nhà)	floor
bột, bột mỳ	flour
sự chảy; chảy	flow
hoa, bông, đóa, cây hoa	flower
bệnh cúm	flu
bay; sự bay, quãng đường bay	fly
biết bay; sự bay, chuyến bay	flying
tập trung; trung tâm, trọng tâm (n.bóng)	focus
gấp, vén, xắn; nếp gấp	fold
gấp lại được	folding
đi theo sau, theo, tiếp theo	follow
tiếp theo, theo sau, sau đây; sau, tiếp theo	following
đồ ăn, thức, món ăn	food
chân, bàn chân	foot
bóng đá	football
cho, dành cho...	for
sức mạnh; ép buộc, cưỡng ép	force
sự dự đoán, dự báo; dự đoán, dự báo	forecast
(thuộc) nước ngoài, từ nước ngoài, ở nước ngoài	foreign
rừng	forest
mãi mãi	forever
quên	forget
tha, tha thứ	forgive
cái nĩa	fork
hình thể, hình dạng, hình thức; làm thành, được tạo thành	form
hình thức	formal
chính thức	formally
trước, cũ, xưa, nguyên	former
trước đây, thuở xưa	formerly
công thức, thể thức, cách thức	formula
sự giàu có, sự thịnh vượng	fortune
về tương lai, sau này ở phía trước, tiến về phía trước	forward
ở phía trước, tiến về phía trước	forward
(q.k of find) tìm, tìm thấy	found
sự thành lập, sự sáng lập; tổ chức	foundation
cấu trúc, hệ thống; dàn xếp, bố trí	frame
miễn phí, tự do, giải phóng, trả tự do	free
tự do, thoải mái	freely
sự tự do; nền tự do	freedom
đóng băng, đông lạnh	freeze
lạnh giá	frozen
thường xuyên	frequent
thường xuyên	frequently
tươi, tươi tắn	fresh
tươi mát, khỏe khoắn	freshly
thứ Sáu	Friday
tủ lạnh	fridge
người bạn	friend
thân thiện, thân mật	friendly
không thân thiện, không có thiện cảm	unfriendly
tình bạn, tình hữu nghị	friendship
làm sợ, làm hoảng sợ	frighten
kinh khủng, khủng khiếp	frightening
hoảng sợ, khiếp sợ	frightened
frəm/ từ	from
mặt; đằng trước, về phía trước	front
sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng	freeze
quả, trái cây	fruit
rán, chiên; thịt rán	fry
chất đốt, nhiên liệu	fuel
đầy, đầy đủ	full
đầy đủ, hoàn toàn	fully
sự vui đùa, sự vui thích; hài hước	fun
chức năng; họat động, chạy (máy)	function
kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ	fund
cơ bản, cơ sở, chủ yếu	fundamental
lễ tang, đám tang	funeral
buồn cười, khôi hài	funny
bộ da lông thú	fur
đồ đạc (trong nhà)	furniture
tương lai	future
lợi, lợi ích; giành được, kiếm được, đạt tới	gain
Galông 1gl = 4, 54 lít ở Anh, 3, 78 lít ở Mỹ	gallon
đánh bạc; cuộc đánh bạc	gamble
trò cờ bạc	gambling
trò chơi	game
đèo, lỗ hổng, kẽ hở; chỗ trống	gap
nhà để ô tô	garage
lòng, ruột (thú)	garbage
vườn	garden
khí, hơi đốt	gas
dầu lửa, dầu hỏa, xăng	gasoline
cổng	gate
tập hợp; hái, lượm, thu thập	gather
cơ cấu, thiết bị, dụng cụ	gear
chung, chung chung; tổng	general
nói chung, đại thể	generally
sinh, đẻ ra	generate
sự sinh ra, sự phát sinh ra; thế hệ, đời	generation
rộng lượng, khoan hồng, hào phóng	generous
rộng lượng, hào phóng	generously
hiền lành, dịu dàng, nhẹ nhàng	gentle
nhẹ nhàng, êm ái, dịu dàng	gently
người quý phái, người thượng lưu	gentleman
thành thật, chân thật; xác thực	genuine
thành thật, chân thật	genuinely
địa lý, khoa địa lý	geography
được, có được	get
người khổng lồ, người phi thường; khổng lồ, phi thường	giant
quà tặng	gift
con gái	girl
bạn gái, người yêu	girlfriend
cho, biếu, tặng	give
vui lòng, sung sướng	glad
kính, thủy tinh, cái cốc, ly	glass
kính đeo mắt	glasses
toàn cầu, toàn thể, toàn bộ	global
bao tay, găng tay	glove
keo, hồ; gắn lại, dán bằng keo, hồ	glue
đậu xanh	gram
đi	go
	goal
thần, Chúa	god
vàng; bằng vàng	gold
tốt, hay, tuyệt; điều tốt, điều thiện	good
tạm biệt; lời chào tạm biệt	goodbye
của cải, tài sản, hàng hóa	goods
cai trị, thống trị, cầm quyền	govern
chính phủ, nội các; sự cai trị	government
thủ lĩnh, chủ; kẻ thống trị	governor
túm lấy, vồ, chộp lấy	grab
điểm, điểm số; phân loại, xếp loại	grade
dần dần, từng bước một	gradual
dần dần, từ từ	gradually
thóc lúa, hạt, hột; tính chất, bản chất	grain
ngữ pháp	gram
văn phạm	grammar
rộng lớn, vĩ đại	grand
cháu (của ông bà)	grandchild
cháu gái	granddaughter
ông	grandfather
bà	grandmother
ông bà	grandparent
cháu trai	grandson
cho, ban, cấp; sự cho, sự ban, sự cấp	grant
cỏ; bãi cỏ, đồng cỏ	grass
biết ơn, dễ chịu, khoan khoái	grateful
mộ, dấu huyền; trang nghiêm, nghiêm trọng	grave
xám, hoa râm (tóc)	gray(NAmE)
xám, hoa râm (tóc)	grey
to, lớn, vĩ đại	great
rất, lắm; cao thượng, cao cả	greatly
xanh lá cây	green
cửa hàng tạp phẩm	grocery
hàng tạp hóa	groceries
mặt đất, đất, bãi đất	ground
nhóm	group
mọc, mọc lên	grow
sự lớn lên, sự phát triển	growth
sự bảo hành, bảo lãnh, người bảo lãnh; cam đoan, bảo đảm	guarantee
cái chắn, người bảo vệ; bảo vệ, gác, canh giữ	guard
đoán, phỏng đoán; sự đoán, sự ước chừng	guess
khách, khách mời	guest
điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường	guide
có tội, phạm tội, tội lỗi	guilty
súng	gun
bù nhìn, anh chàng, gã	guy
thói quen, tập quán	habit
tóc	hair
thợ làm tóc	hairdresser
một nửa, phần chia đôi, nửa giờ; nửa	half
đại sảnh, tòa (thị chính), hội trường	hall
búa	hammer
tay, bàn tay; trao tay, truyền cho	hand
cầm, sờ mó; tay cầm, móc quai	handle
treo, mắc	hang
xảy ra, xảy đến	happen
sự sung sướng, hạnh phúc	happiness
nỗi buồn, sự bất hạnh	unhappiness
vui sướng, hạnh phúc	happy
sung sướng, hạnh phúc	happily
buồn rầu, khốn khổ	unhappy
cứng, rắn, hà khắc; hết sức cố gắng, tích cực	hard
khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn	hardly
thiệt hại, tổn hao; làm hại, gây thiệt hại	harm
gây tai hại, có hại	harmful
không có hại	harmless
cái mũ	hat
ghét; lòng căm ghét, thù hận	hate
lòng căm thì, sự căm ghét	hatred
có	have
phải (bắt buộc, có bổn phận phải)	have
nó, anh ấy, ông ấy	he
cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu	head
chứng nhức đầu	headache
chữa khỏi, làm lành	heal
sức khỏe, thể chất, sự lành mạnh	health
khỏe mạnh, lành mạnh	healthy
nghe	hear
sự nghe, thính giác	hearing
tim, trái tim	heart
hơi nóng, sức nóng	heat
sự đốt nóng, sự làm nóng	heating
thiên đường	heaven
nặng, nặng nề	heavy
nặng, nặng nề	heavily
gót chân	heel
chiều cao, độ cao; đỉnh, điểm cao	height
địa ngục	hell
chào, xin chào; lời chào	hello
giúp đỡ; sự giúp đỡ	help
có ích; giúp đỡ	helpful
sau đây, kể từ đây; do đó, vì thế	hence
nó, chị ấy, cô ấy, bà ấy	her
cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy	hers
đây, ở đây	here
người anh hùng	hero
chính nó, chính cô ta, chính chị ta, chính bà ta	herself
ngập ngừng, do dự	hesitate
xin chào	hi
trốn, ẩn nấp; che giấu	hide
cao, ở mức độ cao	high
tốt, cao; hết sức, ở mức độ cao	highly
làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất	highlight
đường quốc lộ	highway
đồi	hill
nó, hắn, ông ấy, anh ấy	him
chính nó, chính hắn, chính ông ta, chính anh ta	himself
hông	hip
thuê, cho thuê (nhà...); sự thuê, sự cho thuê	hire
của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy	his
lịch sử, thuộc lịch sử	historical
lịch sử, sử học	history
đánh, đấm, ném trúng; đòn, cú đấm	hit
sở thích riêng	hobby
cầm, nắm, giữ; sự cầm, sự nắm giữ	hold
lỗ, lỗ trống; hang	hole
ngày lễ, ngày nghỉ	holiday
rỗng, trống rỗng	hollow
linh thiêng; sùng đạo	holy
nhà; ở tại nhà, nước mình	home
bài tập về nhà (học sinh), công việc làm ở nhà	homework
lương thiện, trung thực, chân thật	honest
lương thiện, trung thực, chân thật	honestly
danh dự, thanh danh, lòng kính trọng	honour
honor of để tỏ lòng tôn kính, trân trọng đối với	in
cái móc; bản lề; lưỡi câu	hook
hy vọng; nguồn hy vọng	hope
